A-Fast-RCNN: Hard Positive Generation via Adversary for Object Detection	2017	https://arxiv.org/pdf/1704.03414.pdf
Jointly Optimize Data Augmentation and Network Training: Adversarial Data Augmentation in Human Pose Estimation	2018	https://arxiv.org/pdf/1805.09707.pdf
Fast AutoAugment	May 2019	https://arxiv.org/pdf/1905.00397.pdf
ADVERSARIAL AUTOAUGMENT	Dec 2019	https://arxiv.org/pdf/1912.11188.pdf
Scale-aware Automatic Augmentation for Object Detection	2021	https://arxiv.org/pdf/2103.17220.pdf
